test8.html, 0.0, 0, 0, 0, 21, 0.0, 0.0, 0.0, 0.0, 0.02
test5.html, 0.4, 10, 10, 10, 20, 0.4, 0.01, 0.01, 0.01, 0.02
script2.html, 0.41, 10, 10, 10, 20, 0.41, 0.01, 0.01, 0.01, 0.02
test6.html, 0.42, 10, 10, 10, 20, 0.42, 0.01, 0.01, 0.01, 0.02
textarea1.html, 0.51, 10, 10, 12, 24, 0.51, 0.01, 0.01, 0.01, 0.02
new1.html, 0.79, 10, 11, 20, 40, 0.79, 0.01, 0.01, 0.02, 0.04
script1.html, 1.04, 18, 11, 21, 31, 1.04, 0.02, 0.01, 0.02, 0.03
test7.html, 1.72, 34, 33, 34, 70, 1.72, 0.03, 0.03, 0.03, 0.07
test2.html, 4.25, 51, 40, 92, 31, 4.25, 0.05, 0.04, 0.09, 0.03
test1.html, 32.54, 467, 441, 511, 747, 32.54, 0.47, 0.44, 0.51, 0.75
LinkedIn.htm, 47.18, 622, 553, 722, 749, 47.18, 0.62, 0.55, 0.72, 0.75
stkofl1.htm, 56.12, 878, 806, 984, 1346, 56.12, 0.88, 0.81, 0.98, 1.35
ifwd1.htm, 88.41, 1290, 1145, 1461, 2100, 88.41, 1.29, 1.15, 1.46, 2.1
mswin1.htm, 93.62, 1234, 1217, 1489, 2583, 93.62, 1.23, 1.22, 1.49, 2.58
htmlContent.html, 97.66, 1339, 1197, 1437, 1845, 97.66, 1.34, 1.2, 1.44, 1.85
test4.html, 100.04, 1532, 1412, 1806, 2429, 100.04, 1.53, 1.41, 1.81, 2.43
toi2.htm, 148.18, 1991, 1804, 2213, 3188, 148.18, 1.99, 1.8, 2.21, 3.19
cnn1.htm, 181.16, 2538, 2315, 2788, 3775, 181.16, 2.54, 2.32, 2.79, 3.78
toi1.htm, 216.88, 2915, 2662, 3877, 4644, 216.88, 2.92, 2.66, 3.88, 4.64
Yahoo.htm, 261.13, 3314, 2981, 3920, 4314, 261.13, 3.31, 2.98, 3.92, 4.31
search.html, 262.67, 3425, 2982, 4869, 2662, 262.67, 3.43, 2.98, 4.87, 2.66
drools.htm, 540.54, 8035, 7519, 8496, 12273, 540.54, 8.04, 7.52, 8.5, 12.27
optaplanner.htm, 1008.51, 16059, 15624, 17463, 26259, 1008.51, 16.06, 15.62, 17.46, 26.26
hibernate.htm, 1605.23, 24409, 22499, 25564, 34266, 1605.23, 24.41, 22.5, 25.56, 34.27
redhat.htm, 2204.82, 34920, 32357, 36018, 50079, 2204.82, 34.92, 32.36, 36.02, 50.08
